count,train_code,departure_station,destination_station,depart_time,arrive_time,during_time,business_class,special_class,first_class,second_class,soft_sleeper,hard_sleeper,hard_seat,no_seat,strict_mode,hs
1,G834,深圳北,广州南,06:10,06:46,00:36,,,,有,,,,有,y,y
1,G6202,深圳北,广州南,06:17,07:01,00:44,有,,有,有,,,,有,y,y
1,G1002,深圳北,广州南,06:36,07:05,00:29,,,2,有,,,,有,y,y
1,G6058,深圳北,广州南,06:54,07:23,00:29,,,2,有,,,,有,y,y
1,G2956,深圳北,广州南,06:59,07:28,00:29,,,,有,,,,有,y,y
1,G2942,深圳北,广州南,07:05,07:34,00:29,2,,有,有,,,,有,y,y
1,G280,深圳北,广州南,07:09,07:45,00:36,,,6,有,,,,有,y,y
1,G1312,深圳北,广州南,07:13,07:59,00:46,,,1,有,,,,有,y,y
1,G6256,深圳北,广州南,07:18,07:49,00:31,20,,有,有,,,,有,y,y
1,G6090,深圳北,广州南,07:31,08:09,00:38,1,,2,有,,,,有,y,y
1,G2896,深圳北,广州南,07:45,08:22,00:37,,,,,,,,10,y,y
1,G872,深圳北,广州南,07:50,08:27,00:37,,,,有,,,,,y,y
1,G82,深圳北,广州南,07:55,08:31,00:36,2,,20,有,,,,有,y,y
1,G2902,深圳北,广州南,08:00,08:36,00:36,1,,有,有,,,,有,y,y
1,G3786,深圳北,广州南,08:05,08:41,00:36,,,2,有,,,,有,y,y
1,G2966,深圳北,广州南,08:10,08:46,00:36,2,,9,有,,,,,y,y
1,G1004,深圳北,广州南,08:14,08:50,00:36,,,5,有,,,,,y,y
1,G2138,深圳北,广州南,08:19,08:55,00:36,,,1,有,,,,,y,y
1,G2944,深圳北,广州南,08:23,09:00,00:37,1,,11,有,,,,有,y,y
1,G1186,深圳北,广州南,08:28,09:05,00:37,4,,11,有,,,,有,y,y
1,G6080,深圳北,广州南,08:32,09:10,00:38,,,9,有,,,,,y,y
1,G6346,深圳北,广州南,08:37,09:17,00:40,4,,2,有,,,,,y,y
1,G6582,深圳北,广州南,08:43,09:21,00:38,,,16,有,,,,,y,y
1,G6206,深圳北,广州南,08:48,09:25,00:37,3,,19,有,,,,有,y,y
1,G6034,深圳北,广州南,08:52,09:29,00:37,1,,6,有,,,,有,y,y
1,G3732,深圳北,广州南,08:56,09:33,00:37,6,,有,有,,,,有,y,y
1,G6002,深圳北,广州南,09:00,09:37,00:37,2,,14,有,,,,有,y,y
1,G6098,深圳北,广州南,09:10,09:46,00:36,,,1,1,,,,,y,y
1,G6142,深圳北,广州南,09:15,09:51,00:36,,,,17,,,,有,y,y
1,G846,深圳北,广州南,09:20,09:57,00:37,,,8,有,,,,有,y,y
1,G2244,深圳北,广州南,09:25,10:01,00:36,,,,11,,,,19,y,y
1,G342,深圳北,广州南,09:29,10:05,00:36,4,,15,有,,,,有,y,y
1,G826,深圳北,广州南,09:34,10:13,00:39,,,,,,,,,y,y
1,G6510,深圳北,广州南,09:38,10:09,00:31,12,,有,有,,,,,y,y
1,G306,深圳北,广州南,09:42,10:18,00:36,2,,6,有,,,,,y,y
1,G6350,深圳北,广州南,09:46,10:22,00:36,5,,13,有,,,,,y,y
1,G6336,深圳北,广州南,09:52,10:28,00:36,13,,有,有,,,,有,y,y
1,G2946,深圳北,广州南,09:56,10:41,00:45,,,1,17,,,,有,y,y
1,G6004,深圳北,广州南,10:00,10:33,00:33,8,,有,有,,,,有,y,y
1,G874,深圳北,广州南,10:05,10:37,00:32,1,,4,有,,,,有,y,y
1,G680,深圳北,广州南,10:09,10:45,00:36,2,,7,有,,,,有,y,y
1,G1040,深圳北,广州南,10:13,10:49,00:36,2,,12,有,,,,有,y,y
1,G2964,深圳北,广州南,10:29,11:05,00:36,2,,,9,,,,,y,y
1,G1152,深圳北,广州南,10:34,11:10,00:36,,,3,有,,,,,y,y
1,G6126,深圳北,广州南,10:39,11:15,00:36,1,,3,有,,,,有,y,y
1,G6048,深圳北,广州南,10:44,11:21,00:37,,,,,,,,,y,y
1,G6528,深圳北,广州南,10:58,11:28,00:30,4,,20,有,,,,,y,y
1,G6534,深圳北,广州南,11:04,11:40,00:36,5,,18,有,,,,,y,y
1,G9670,深圳北,广州南,11:15,11:44,00:29,6,,有,有,,,,有,y,y
1,G2976,深圳北,广州南,11:20,11:49,00:29,5,,14,有,,,,有,y,y
1,G6172,深圳北,广州南,11:25,11:55,00:30,,,,,,,,,y,y
1,G6584,深圳北,广州南,11:30,12:00,00:30,,,有,有,,,,,y,y
1,G876,深圳北,广州南,11:35,12:05,00:30,3,,有,有,,,,有,y,y
1,G80,深圳北,广州南,11:41,12:10,00:29,,,7,有,,,,,y,y
1,G2904,深圳北,广州南,11:46,12:15,00:29,4,,13,有,,,,,y,y
1,G6212,深圳北,广州南,11:51,12:27,00:36,1,,2,20,,,,,y,y
1,G6088,深圳北,广州南,11:57,12:37,00:40,,,,,,,,,y,y
1,G1006,深圳北,广州南,12:03,12:32,00:29,3,,13,有,,,,有,y,y
1,G1176,深圳北,广州南,12:07,12:43,00:36,2,,,,,,,,y,y
1,G6018,深圳北,广州南,12:12,12:52,00:40,,,3,有,,,,有,y,y
1,G320,深圳北,广州南,12:17,12:47,00:30,,,2,20,,,,,y,y
1,G2918,深圳北,广州南,12:23,12:59,00:36,,,,,,,,8,y,y
1,G408,深圳北,广州南,12:27,13:03,00:36,,,,有,,,,,y,y
1,G6066,深圳北,广州南,12:31,13:08,00:37,,,1,有,,,,有,y,y
1,G878,深圳北,广州南,12:35,13:12,00:37,3,,19,有,,,,有,y,y
1,G830,深圳北,广州南,12:42,13:18,00:36,,,1,有,,,,,y,y
1,G1028,深圳北,广州南,12:47,13:23,00:36,3,,6,有,,,,有,y,y
1,G2908,深圳北,广州南,12:52,13:28,00:36,1,,,有,,,,11,y,y
1,G6516,深圳北,广州南,12:59,13:35,00:36,1,,15,有,,,,,y,y
1,G6056,深圳北,广州南,13:04,13:40,00:36,6,,有,有,,,,有,y,y
1,G1008,深圳北,广州南,13:10,13:46,00:36,,,2,有,,,,有,y,y
1,G1608,深圳北,广州南,13:16,14:00,00:44,1,,19,有,,,,有,y,y
1,G6012,深圳北,广州南,13:28,14:05,00:37,18,,有,有,,,,有,y,y
1,G880,深圳北,广州南,13:32,14:14,00:42,3,,15,有,,,,有,y,y
1,G6302,深圳北,广州南,13:39,14:10,00:31,4,,有,有,,,,,y,y
1,G6030,深圳北,广州南,13:44,14:24,00:40,1,,1,有,,,,有,y,y
1,G6530,深圳北,广州南,13:48,14:19,00:31,1,,18,有,,,,,y,y
1,G6028,深圳北,广州南,13:53,14:29,00:36,1,,1,有,,,,有,y,y
1,G6022,深圳北,广州南,14:01,14:38,00:37,1,,3,有,,,,有,y,y
1,G6536,深圳北,广州南,14:06,14:49,00:43,6,,6,有,,,,,y,y
1,G2930,深圳北,广州南,14:30,15:06,00:36,,5,1,有,,,,有,y,y
1,G6338,深圳北,广州南,14:35,15:12,00:37,,,,,,,,,y,y
